Energy,xx,yy,zz,xy,xz,yz
0.0000,11.6757,11.6757,11.6757,0.2123,0.2123,0.2123
0.0382,11.6770,11.6770,11.6770,0.2125,0.2125,0.2125
0.0765,11.6810,11.6810,11.6810,0.2132,0.2132,0.2132
0.1147,11.6875,11.6875,11.6875,0.2143,0.2143,0.2143
0.1530,11.6968,11.6968,11.6968,0.2158,0.2158,0.2158
0.1912,11.7087,11.7087,11.7087,0.2179,0.2179,0.2179
0.2294,11.7233,11.7233,11.7233,0.2204,0.2204,0.2204
0.2677,11.7407,11.7407,11.7407,0.2234,0.2234,0.2234
0.3059,11.7609,11.7609,11.7609,0.2269,0.2269,0.2269
0.3441,11.7839,11.7839,11.7839,0.2309,0.2309,0.2309
0.3824,11.8099,11.8099,11.8099,0.2354,0.2354,0.2354
0.4206,11.8389,11.8389,11.8389,0.2405,0.2405,0.2405
0.4589,11.8710,11.8710,11.8710,0.2463,0.2463,0.2463
0.4971,11.9064,11.9064,11.9064,0.2526,0.2526,0.2526
0.5353,11.9451,11.9451,11.9451,0.2596,0.2596,0.2596
0.5736,11.9872,11.9872,11.9872,0.2674,0.2674,0.2674
0.6118,12.0331,12.0331,12.0331,0.2758,0.2758,0.2758
0.6500,12.0827,12.0827,12.0827,0.2852,0.2852,0.2852
0.6883,12.1364,12.1364,12.1364,0.2953,0.2953,0.2953
0.7265,12.1944,12.1944,12.1944,0.3065,0.3065,0.3065
0.7648,12.2569,12.2569,12.2569,0.3187,0.3187,0.3187
0.8030,12.3245,12.3245,12.3245,0.3320,0.3320,0.3320
0.8412,12.3975,12.3975,12.3975,0.3465,0.3465,0.3465
0.8795,12.4766,12.4766,12.4766,0.3623,0.3623,0.3623
0.9177,12.5621,12.5621,12.5621,0.3797,0.3797,0.3797
0.9560,12.6542,12.6542,12.6542,0.3989,0.3989,0.3989
0.9942,12.7529,12.7529,12.7529,0.4203,0.4203,0.4203
1.0324,12.8588,12.8588,12.8588,0.4444,0.4444,0.4444
1.0707,12.9725,12.9725,12.9725,0.4719,0.4719,0.4719
1.1089,13.0949,13.0949,13.0949,0.5033,0.5033,0.5033
1.1471,13.2276,13.2276,13.2276,0.5402,0.5402,0.5402
1.1854,13.3729,13.3729,13.3729,0.5844,0.5844,0.5844
1.2236,13.5313,13.5313,13.5313,0.6361,0.6361,0.6361
1.2619,13.7011,13.7011,13.7011,0.6937,0.6937,0.6937
1.3001,13.8814,13.8814,13.8814,0.7557,0.7557,0.7557
1.3383,14.0722,14.0722,14.0722,0.8217,0.8217,0.8217
1.3766,14.2743,14.2743,14.2743,0.8919,0.8919,0.8919
1.4148,14.4897,14.4897,14.4897,0.9671,0.9671,0.9671
1.4530,14.7218,14.7218,14.7218,1.0494,1.0494,1.0494
1.4913,14.9712,14.9712,14.9712,1.1367,1.1367,1.1367
1.5295,15.2340,15.2340,15.2340,1.2244,1.2244,1.2244
1.5678,15.5045,15.5045,15.5045,1.3086,1.3086,1.3086
1.6060,15.7774,15.7774,15.7774,1.3859,1.3859,1.3859
1.6442,16.0488,16.0488,16.0488,1.4528,1.4528,1.4528
1.6825,16.3154,16.3154,16.3154,1.5060,1.5060,1.5060
1.7207,16.5740,16.5740,16.5740,1.5412,1.5412,1.5412
1.7590,16.8219,16.8219,16.8219,1.5530,1.5530,1.5530
1.7972,17.0582,17.0582,17.0582,1.5334,1.5334,1.5334
1.8354,17.2787,17.2787,17.2787,1.4808,1.4808,1.4808
1.8737,17.4736,17.4736,17.4736,1.3994,1.3994,1.3994
1.9119,17.6318,17.6318,17.6318,1.2917,1.2917,1.2917
1.9501,17.7387,17.7387,17.7387,1.1585,1.1585,1.1585
1.9884,17.7871,17.7871,17.7871,0.9975,0.9975,0.9975
2.0266,17.7793,17.7793,17.7793,0.8020,0.8020,0.8020
2.0649,17.7139,17.7139,17.7139,0.5614,0.5614,0.5614
2.1031,17.5846,17.5846,17.5846,0.2559,0.2559,0.2559
2.1413,17.3406,17.3406,17.3406,-0.1636,-0.1636,-0.1636
2.1796,17.0298,17.0298,17.0298,-0.6095,-0.6095,-0.6095
2.2178,16.7322,16.7322,16.7322,-0.9868,-0.9868,-0.9868
2.2560,16.4308,16.4308,16.4308,-1.3330,-1.3330,-1.3330
2.2943,16.1176,16.1176,16.1176,-1.6560,-1.6560,-1.6560
2.3325,15.7828,15.7828,15.7828,-1.9508,-1.9508,-1.9508
2.3708,15.4178,15.4178,15.4178,-2.2098,-2.2098,-2.2098
2.4090,15.0117,15.0117,15.0117,-2.4224,-2.4224,-2.4224
2.4472,14.5440,14.5440,14.5440,-2.5715,-2.5715,-2.5715
2.4855,13.9654,13.9654,13.9654,-2.6218,-2.6218,-2.6218
2.5237,13.2806,13.2806,13.2806,-2.5592,-2.5592,-2.5592
2.5620,12.5544,12.5544,12.5544,-2.4164,-2.4164,-2.4164
2.6002,11.9682,11.9682,11.9682,-2.3038,-2.3038,-2.3038
2.6384,11.6377,11.6377,11.6377,-2.2796,-2.2796,-2.2796
2.6767,11.4250,11.4250,11.4250,-2.2727,-2.2727,-2.2727
2.7149,11.2416,11.2416,11.2416,-2.2488,-2.2488,-2.2488
2.7531,11.0920,11.0920,11.0920,-2.2178,-2.2178,-2.2178
2.7914,10.9698,10.9698,10.9698,-2.1826,-2.1826,-2.1826
2.8296,10.8670,10.8670,10.8670,-2.1454,-2.1454,-2.1454
2.8679,10.7680,10.7680,10.7680,-2.1073,-2.1073,-2.1073
2.9061,10.6454,10.6454,10.6454,-2.0691,-2.0691,-2.0691
2.9443,10.4519,10.4519,10.4519,-2.0330,-2.0330,-2.0330
2.9826,10.0421,10.0421,10.0421,-2.0025,-2.0025,-2.0025
3.0208,9.8736,9.8736,9.8736,-1.9460,-1.9460,-1.9460
3.0590,10.0937,10.0937,10.0937,-1.8720,-1.8720,-1.8720
3.0973,10.3072,10.3072,10.3072,-1.8118,-1.8118,-1.8118
3.1355,10.5382,10.5382,10.5382,-1.7507,-1.7507,-1.7507
3.1738,10.7950,10.7950,10.7950,-1.6912,-1.6912,-1.6912
3.2120,11.0777,11.0777,11.0777,-1.6308,-1.6308,-1.6308
3.2502,11.3727,11.3727,11.3727,-1.5542,-1.5542,-1.5542
3.2885,11.5692,11.5692,11.5692,-1.3722,-1.3722,-1.3722
3.3267,11.5862,11.5862,11.5862,-1.1022,-1.1022,-1.1022
3.3650,11.4526,11.4526,11.4526,-1.0273,-1.0273,-1.0273
3.4032,11.3828,11.3828,11.3828,-1.3387,-1.3387,-1.3387
3.4414,11.4453,11.4453,11.4453,-1.8262,-1.8262,-1.8262
3.4797,11.6550,11.6550,11.6550,-2.1881,-2.1881,-2.1881
3.5179,12.1786,12.1786,12.1786,-2.3524,-2.3524,-2.3524
3.5561,12.9908,12.9908,12.9908,-2.3654,-2.3654,-2.3654
3.5944,14.0770,14.0770,14.0770,-2.2671,-2.2671,-2.2671
3.6326,15.5579,15.5579,15.5579,-2.0259,-2.0259,-2.0259
3.6709,18.0856,18.0856,18.0856,-1.3333,-1.3333,-1.3333
3.7091,19.6383,19.6383,19.6383,-1.6856,-1.6856,-1.6856
3.7473,18.8027,18.8027,18.8027,-3.5370,-3.5370,-3.5370
3.7856,17.4503,17.4503,17.4503,-4.7299,-4.7299,-4.7299
3.8238,15.1595,15.1595,15.1595,-5.3101,-5.3101,-5.3101
3.8620,13.1109,13.1109,13.1109,-5.6988,-5.6988,-5.6988
3.9003,12.4867,12.4867,12.4867,-5.7367,-5.7367,-5.7367
3.9385,12.2508,12.2508,12.2508,-5.7758,-5.7758,-5.7758
3.9768,11.4623,11.4623,11.4623,-5.4302,-5.4302,-5.4302
4.0150,8.1937,8.1937,8.1937,-3.8956,-3.8956,-3.8956
4.0532,2.7510,2.7510,2.7510,-1.3328,-1.3328,-1.3328
4.0915,-0.2382,-0.2382,-0.2382,0.1430,0.1430,0.1430
4.1297,1.9259,1.9259,1.9259,0.1725,0.1725,0.1725
4.1680,4.5437,4.5437,4.5437,0.0302,0.0302,0.0302
4.2062,3.9493,3.9493,3.9493,-0.4369,-0.4369,-0.4369
4.2444,1.0871,1.0871,1.0871,-1.3006,-1.3006,-1.3006
4.2827,-1.3333,-1.3333,-1.3333,-1.8918,-1.8918,-1.8918
4.3209,-2.0226,-2.0226,-2.0226,-1.9834,-1.9834,-1.9834
4.3591,-1.9042,-1.9042,-1.9042,-1.8956,-1.8956,-1.8956
4.3974,-1.1469,-1.1469,-1.1469,-1.6401,-1.6401,-1.6401
4.4356,-0.1378,-0.1378,-0.1378,-1.3263,-1.3263,-1.3263
4.4739,0.6997,0.6997,0.6997,-1.0890,-1.0890,-1.0890
4.5121,1.4025,1.4025,1.4025,-0.9383,-0.9383,-0.9383
4.5503,2.0029,2.0029,2.0029,-0.8342,-0.8342,-0.8342
4.5886,2.4361,2.4361,2.4361,-0.7326,-0.7326,-0.7326
4.6268,2.7144,2.7144,2.7144,-0.6265,-0.6265,-0.6265
4.6650,2.8547,2.8547,2.8547,-0.5438,-0.5438,-0.5438
4.7033,2.8300,2.8300,2.8300,-0.5471,-0.5471,-0.5471
4.7415,2.7008,2.7008,2.7008,-0.6155,-0.6155,-0.6155
4.7798,2.7760,2.7760,2.7760,-0.4755,-0.4755,-0.4755
4.8180,3.0190,3.0190,3.0190,-0.1839,-0.1839,-0.1839
4.8562,3.2184,3.2184,3.2184,0.0249,0.0249,0.0249
4.8945,3.4619,3.4619,3.4619,0.1909,0.1909,0.1909
4.9327,3.7851,3.7851,3.7851,0.3332,0.3332,0.3332
4.9710,4.1666,4.1666,4.1666,0.4653,0.4653,0.4653
5.0092,4.1646,4.1646,4.1646,0.5054,0.5054,0.5054
5.0474,3.9369,3.9369,3.9369,0.5340,0.5340,0.5340
5.0857,3.9891,3.9891,3.9891,0.6735,0.6735,0.6735
5.1239,4.1813,4.1813,4.1813,0.8439,0.8439,0.8439
5.1621,4.3988,4.3988,4.3988,1.0037,1.0037,1.0037
5.2004,4.5304,4.5304,4.5304,1.1485,1.1485,1.1485
5.2386,4.4856,4.4856,4.4856,1.2827,1.2827,1.2827
5.2769,4.2160,4.2160,4.2160,1.4205,1.4205,1.4205
5.3151,3.7244,3.7244,3.7244,1.5825,1.5825,1.5825
5.3533,2.9821,2.9821,2.9821,1.7521,1.7521,1.7521
5.3916,2.1411,2.1411,2.1411,1.8769,1.8769,1.8769
5.4298,1.2854,1.2854,1.2854,1.9499,1.9499,1.9499
5.4680,0.4385,0.4385,0.4385,1.9646,1.9646,1.9646
5.5063,-0.2569,-0.2569,-0.2569,1.9143,1.9143,1.9143
5.5445,-0.8039,-0.8039,-0.8039,1.8271,1.8271,1.8271
5.5828,-1.2031,-1.2031,-1.2031,1.7217,1.7217,1.7217
5.6210,-1.4786,-1.4786,-1.4786,1.6170,1.6170,1.6170
5.6592,-1.8138,-1.8138,-1.8138,1.5173,1.5173,1.5173
5.6975,-2.2880,-2.2880,-2.2880,1.4291,1.4291,1.4291
5.7357,-2.7344,-2.7344,-2.7344,1.3653,1.3653,1.3653
5.7740,-3.0593,-3.0593,-3.0593,1.3297,1.3297,1.3297
5.8122,-3.2786,-3.2786,-3.2786,1.3188,1.3188,1.3188
5.8504,-3.4197,-3.4197,-3.4197,1.3164,1.3164,1.3164
5.8887,-3.4926,-3.4926,-3.4926,1.3093,1.3093,1.3093
5.9269,-3.5177,-3.5177,-3.5177,1.2983,1.2983,1.2983
5.9651,-3.5032,-3.5032,-3.5032,1.2747,1.2747,1.2747
6.0034,-3.4739,-3.4739,-3.4739,1.2288,1.2288,1.2288
6.0416,-3.4611,-3.4611,-3.4611,1.1699,1.1699,1.1699
