Energy,xx,yy,zz,xy,xz,yz
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
