Energy,xx,yy,zz,xy,xz,yz
0.0000,7.7235,7.7235,7.7235,0.2345,0.2345,0.2345
0.0368,7.7239,7.7239,7.7239,0.2345,0.2345,0.2345
0.0735,7.7253,7.7253,7.7253,0.2346,0.2346,0.2346
0.1103,7.7276,7.7276,7.7276,0.2348,0.2348,0.2348
0.1470,7.7309,7.7309,7.7309,0.2350,0.2350,0.2350
0.1838,7.7350,7.7350,7.7350,0.2352,0.2352,0.2352
0.2205,7.7402,7.7402,7.7402,0.2356,0.2356,0.2356
0.2573,7.7462,7.7462,7.7462,0.2359,0.2359,0.2359
0.2940,7.7532,7.7532,7.7532,0.2364,0.2364,0.2364
0.3308,7.7612,7.7612,7.7612,0.2369,0.2369,0.2369
0.3676,7.7702,7.7702,7.7702,0.2375,0.2375,0.2375
0.4043,7.7801,7.7801,7.7801,0.2381,0.2381,0.2381
0.4411,7.7911,7.7911,7.7911,0.2388,0.2388,0.2388
0.4778,7.8031,7.8031,7.8031,0.2396,0.2396,0.2396
0.5146,7.8161,7.8161,7.8161,0.2404,0.2404,0.2404
0.5513,7.8302,7.8302,7.8302,0.2413,0.2413,0.2413
0.5881,7.8453,7.8453,7.8453,0.2422,0.2422,0.2422
0.6248,7.8616,7.8616,7.8616,0.2432,0.2432,0.2432
0.6616,7.8791,7.8791,7.8791,0.2443,0.2443,0.2443
0.6984,7.8976,7.8976,7.8976,0.2455,0.2455,0.2455
0.7351,7.9174,7.9174,7.9174,0.2467,0.2467,0.2467
0.7719,7.9385,7.9385,7.9385,0.2480,0.2480,0.2480
0.8086,7.9608,7.9608,7.9608,0.2494,0.2494,0.2494
0.8454,7.9844,7.9844,7.9844,0.2508,0.2508,0.2508
0.8821,8.0095,8.0095,8.0095,0.2523,0.2523,0.2523
0.9189,8.0359,8.0359,8.0359,0.2539,0.2539,0.2539
0.9556,8.0638,8.0638,8.0638,0.2555,0.2555,0.2555
0.9924,8.0933,8.0933,8.0933,0.2572,0.2572,0.2572
1.0291,8.1245,8.1245,8.1245,0.2590,0.2590,0.2590
1.0659,8.1573,8.1573,8.1573,0.2609,0.2609,0.2609
1.1027,8.1920,8.1920,8.1920,0.2628,0.2628,0.2628
1.1394,8.2285,8.2285,8.2285,0.2649,0.2649,0.2649
1.1762,8.2671,8.2671,8.2671,0.2669,0.2669,0.2669
1.2129,8.3079,8.3079,8.3079,0.2691,0.2691,0.2691
1.2497,8.3510,8.3510,8.3510,0.2713,0.2713,0.2713
1.2864,8.3967,8.3967,8.3967,0.2736,0.2736,0.2736
1.3232,8.4452,8.4452,8.4452,0.2759,0.2759,0.2759
1.3599,8.4968,8.4968,8.4968,0.2782,0.2782,0.2782
1.3967,8.5520,8.5520,8.5520,0.2805,0.2805,0.2805
1.4335,8.6113,8.6113,8.6113,0.2827,0.2827,0.2827
1.4702,8.6761,8.6761,8.6761,0.2847,0.2847,0.2847
1.5070,8.7469,8.7469,8.7469,0.2866,0.2866,0.2866
1.5437,8.8227,8.8227,8.8227,0.2885,0.2885,0.2885
1.5805,8.9023,8.9023,8.9023,0.2908,0.2908,0.2908
1.6172,8.9849,8.9849,8.9849,0.2933,0.2933,0.2933
1.6540,9.0698,9.0698,9.0698,0.2963,0.2963,0.2963
1.6907,9.1564,9.1564,9.1564,0.2997,0.2997,0.2997
1.7275,9.2442,9.2442,9.2442,0.3037,0.3037,0.3037
1.7643,9.3325,9.3325,9.3325,0.3084,0.3084,0.3084
1.8010,9.4207,9.4207,9.4207,0.3140,0.3140,0.3140
1.8378,9.5092,9.5092,9.5092,0.3202,0.3202,0.3202
1.8745,9.5981,9.5981,9.5981,0.3271,0.3271,0.3271
1.9113,9.6876,9.6876,9.6876,0.3346,0.3346,0.3346
1.9480,9.7775,9.7775,9.7775,0.3425,0.3425,0.3425
1.9848,9.8679,9.8679,9.8679,0.3510,0.3510,0.3510
2.0215,9.9587,9.9587,9.9587,0.3600,0.3600,0.3600
2.0583,10.0500,10.0500,10.0500,0.3695,0.3695,0.3695
2.0951,10.1416,10.1416,10.1416,0.3794,0.3794,0.3794
2.1318,10.2334,10.2334,10.2334,0.3896,0.3896,0.3896
2.1686,10.3255,10.3255,10.3255,0.4002,0.4002,0.4002
2.2053,10.4184,10.4184,10.4184,0.4113,0.4113,0.4113
2.2421,10.5126,10.5126,10.5126,0.4231,0.4231,0.4231
2.2788,10.6087,10.6087,10.6087,0.4357,0.4357,0.4357
2.3156,10.7077,10.7077,10.7077,0.4493,0.4493,0.4493
2.3523,10.8102,10.8102,10.8102,0.4640,0.4640,0.4640
2.3891,10.9179,10.9179,10.9179,0.4800,0.4800,0.4800
2.4259,11.0333,11.0333,11.0333,0.4973,0.4973,0.4973
2.4626,11.1574,11.1574,11.1574,0.5166,0.5166,0.5166
2.4994,11.2897,11.2897,11.2897,0.5389,0.5389,0.5389
2.5361,11.4301,11.4301,11.4301,0.5672,0.5672,0.5672
2.5729,11.6030,11.6030,11.6030,0.5917,0.5917,0.5917
2.6096,11.8037,11.8037,11.8037,0.6047,0.6047,0.6047
2.6464,11.9677,11.9677,11.9677,0.6208,0.6208,0.6208
2.6831,12.0552,12.0552,12.0552,0.6560,0.6560,0.6560
2.7199,12.0839,12.0839,12.0839,0.7121,0.7121,0.7121
2.7566,12.1075,12.1075,12.1075,0.7767,0.7767,0.7767
2.7934,12.0780,12.0780,12.0780,0.8713,0.8713,0.8713
2.8302,12.0178,12.0178,12.0178,0.9877,0.9877,0.9877
2.8669,11.9988,11.9988,11.9988,1.0997,1.0997,1.0997
2.9037,11.9680,11.9680,11.9680,1.2285,1.2285,1.2285
2.9404,11.9087,11.9087,11.9087,1.3780,1.3780,1.3780
2.9772,11.8414,11.8414,11.8414,1.5306,1.5306,1.5306
3.0139,11.7849,11.7849,11.7849,1.6723,1.6723,1.6723
3.0507,11.7510,11.7510,11.7510,1.7996,1.7996,1.7996
3.0874,11.7659,11.7659,11.7659,1.9016,1.9016,1.9016
3.1242,11.8361,11.8361,11.8361,1.9767,1.9767,1.9767
3.1610,11.9483,11.9483,11.9483,2.0289,2.0289,2.0289
3.1977,12.1086,12.1086,12.1086,2.0420,2.0420,2.0420
3.2345,12.2713,12.2713,12.2713,1.9891,1.9891,1.9891
3.2712,12.1322,12.1322,12.1322,1.9089,1.9089,1.9089
3.3080,11.6702,11.6702,11.6702,1.7779,1.7779,1.7779
3.3447,11.2203,11.2203,11.2203,1.5502,1.5502,1.5502
3.3815,10.7208,10.7208,10.7208,1.2899,1.2899,1.2899
3.4182,10.0966,10.0966,10.0966,1.0416,1.0416,1.0416
3.4550,9.5147,9.5147,9.5147,0.8331,0.8331,0.8331
3.4918,8.4146,8.4146,8.4146,0.4716,0.4716,0.4716
3.5285,7.1166,7.1166,7.1166,-0.0322,-0.0322,-0.0322
3.5653,7.0564,7.0564,7.0564,-0.2925,-0.2925,-0.2925
3.6020,7.8893,7.8893,7.8893,-0.2458,-0.2458,-0.2458
3.6388,8.5278,8.5278,8.5278,-0.1389,-0.1389,-0.1389
3.6755,8.7842,8.7842,8.7842,-0.0999,-0.0999,-0.0999
3.7123,8.8293,8.8293,8.8293,-0.0751,-0.0751,-0.0751
3.7490,8.8193,8.8193,8.8193,-0.0414,-0.0414,-0.0414
3.7858,8.8115,8.8115,8.8115,-0.0207,-0.0207,-0.0207
3.8226,8.7807,8.7807,8.7807,-0.0240,-0.0240,-0.0240
3.8593,8.6722,8.6722,8.6722,-0.0602,-0.0602,-0.0602
3.8961,8.4919,8.4919,8.4919,-0.1323,-0.1323,-0.1323
3.9328,8.3824,8.3824,8.3824,-0.2126,-0.2126,-0.2126
3.9696,8.4960,8.4960,8.4960,-0.2592,-0.2592,-0.2592
4.0063,8.8834,8.8834,8.8834,-0.2210,-0.2210,-0.2210
4.0431,9.3156,9.3156,9.3156,-0.1635,-0.1635,-0.1635
4.0798,9.3595,9.3595,9.3595,-0.2354,-0.2354,-0.2354
4.1166,9.1774,9.1774,9.1774,-0.3568,-0.3568,-0.3568
4.1534,8.8505,8.8505,8.8505,-0.5860,-0.5860,-0.5860
4.1901,8.3502,8.3502,8.3502,-0.9152,-0.9152,-0.9152
4.2269,7.9421,7.9421,7.9421,-1.1697,-1.1697,-1.1697
4.2636,7.6710,7.6710,7.6710,-1.3488,-1.3488,-1.3488
4.3004,7.6366,7.6366,7.6366,-1.3895,-1.3895,-1.3895
4.3371,7.5291,7.5291,7.5291,-1.5050,-1.5050,-1.5050
4.3739,7.3394,7.3394,7.3394,-1.7251,-1.7251,-1.7251
4.4106,7.2451,7.2451,7.2451,-1.9014,-1.9014,-1.9014
4.4474,7.1386,7.1386,7.1386,-2.0821,-2.0821,-2.0821
4.4841,7.2002,7.2002,7.2002,-2.1855,-2.1855,-2.1855
4.5209,7.0668,7.0668,7.0668,-2.5127,-2.5127,-2.5127
4.5577,7.0287,7.0287,7.0287,-2.7904,-2.7904,-2.7904
4.5944,7.1617,7.1617,7.1617,-2.7735,-2.7735,-2.7735
4.6312,6.9017,6.9017,6.9017,-2.7791,-2.7791,-2.7791
4.6679,6.5219,6.5219,6.5219,-2.6861,-2.6861,-2.6861
4.7047,6.1115,6.1115,6.1115,-2.4965,-2.4965,-2.4965
4.7414,5.5293,5.5293,5.5293,-2.3274,-2.3274,-2.3274
4.7782,5.0873,5.0873,5.0873,-2.2447,-2.2447,-2.2447
4.8149,4.9180,4.9180,4.9180,-2.1763,-2.1763,-2.1763
4.8517,4.4628,4.4628,4.4628,-1.9150,-1.9150,-1.9150
4.8885,3.5117,3.5117,3.5117,-1.3962,-1.3962,-1.3962
4.9252,2.7993,2.7993,2.7993,-0.9487,-0.9487,-0.9487
4.9620,2.6430,2.6430,2.6430,-0.7768,-0.7768,-0.7768
