Energy,xx,yy,zz,xy,xz,yz
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
