Energy,xx,yy,zz,xy,xz,yz
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
