Energy,xx,yy,zz,xy,xz,yz
0.0000,6.6737,6.6737,6.2027,0.0000,0.0000,0.0000
0.0131,6.6737,6.6737,6.2027,0.0000,0.0000,0.0000
0.0262,6.6738,6.6738,6.2028,0.0000,0.0000,0.0000
0.0392,6.6740,6.6740,6.2030,0.0000,0.0000,0.0000
0.0523,6.6743,6.6743,6.2033,0.0000,0.0000,0.0000
0.0654,6.6747,6.6747,6.2036,0.0000,0.0000,0.0000
0.0785,6.6751,6.6751,6.2039,0.0000,0.0000,0.0000
0.0916,6.6757,6.6757,6.2044,0.0000,0.0000,0.0000
0.1047,6.6763,6.6763,6.2049,0.0000,0.0000,0.0000
0.1177,6.6770,6.6770,6.2054,0.0000,0.0000,0.0000
0.1308,6.6778,6.6778,6.2061,0.0000,0.0000,0.0000
0.1439,6.6787,6.6787,6.2068,0.0000,0.0000,0.0000
0.1570,6.6796,6.6796,6.2076,0.0000,0.0000,0.0000
0.1701,6.6807,6.6807,6.2084,0.0000,0.0000,0.0000
0.1832,6.6818,6.6818,6.2093,0.0000,0.0000,0.0000
0.1962,6.6830,6.6830,6.2103,0.0000,0.0000,0.0000
0.2093,6.6843,6.6843,6.2114,0.0000,0.0000,0.0000
0.2224,6.6856,6.6856,6.2125,0.0000,0.0000,0.0000
0.2355,6.6871,6.6871,6.2137,0.0000,0.0000,0.0000
0.2486,6.6886,6.6886,6.2149,0.0000,0.0000,0.0000
0.2616,6.6903,6.6903,6.2163,0.0000,0.0000,0.0000
0.2747,6.6920,6.6920,6.2177,0.0000,0.0000,0.0000
0.2878,6.6938,6.6938,6.2191,0.0000,0.0000,0.0000
0.3009,6.6957,6.6957,6.2206,0.0000,0.0000,0.0000
0.3140,6.6976,6.6976,6.2223,0.0000,0.0000,0.0000
0.3271,6.6997,6.6997,6.2239,0.0000,0.0000,0.0000
0.3401,6.7018,6.7018,6.2257,0.0000,0.0000,0.0000
0.3532,6.7041,6.7041,6.2275,0.0000,0.0000,0.0000
0.3663,6.7064,6.7064,6.2294,0.0000,0.0000,0.0000
0.3794,6.7088,6.7088,6.2313,0.0000,0.0000,0.0000
0.3925,6.7113,6.7113,6.2333,0.0000,0.0000,0.0000
0.4056,6.7138,6.7138,6.2354,0.0000,0.0000,0.0000
0.4186,6.7165,6.7165,6.2376,0.0000,0.0000,0.0000
0.4317,6.7193,6.7193,6.2399,0.0000,0.0000,0.0000
0.4448,6.7221,6.7221,6.2422,0.0000,0.0000,0.0000
0.4579,6.7250,6.7250,6.2445,0.0000,0.0000,0.0000
0.4710,6.7281,6.7281,6.2470,0.0000,0.0000,0.0000
